,Date,amount_blnUSD,amount_blnRUB,"Date(m,Y)"
124,2013-06-01,86.72,2739.33,"June, 2013"
125,2013-05-01,87.27,2727.79,"May, 2013"
126,2013-04-01,86.76,2696.73,"April, 2013"
127,2013-03-01,87.61,268.28,"March, 2013"
128,2013-02-01,89.21,2678.63,"February, 2013"
129,2013-01-01,88.59,269.63,"January, 2013"
130,2012-12-01,87.47,2716.61,"December, 2012"
131,2012-11-01,87.19,2748.67,"November, 2012"
132,2012-10-01,87.61,27.88,"October, 2012"
133,2012-09-01,85.85,277.24,"September, 2012"
134,2012-08-01,85.21,274.28,"August, 2012"
135,2012-07-01,85.64,28.14,"July, 2012"
136,2012-06-01,85.48,2773.78,"June, 2012"
137,2012-05-01,89.21,261.92,"May, 2012"
138,2012-04-01,89.5,2624.78,"April, 2012"
139,2012-03-01,89.84,26.88,"March, 2012"
140,2012-02-01,88.33,2682.21,"February, 2012"
141,2012-01-01,86.79,2794.43,"January, 2012"
142,2011-12-01,88.26,276.44,"December, 2011"
143,2011-11-01,91.19,2726.42,"November, 2011"
144,2011-10-01,88.69,282.71,"October, 2011"
145,2011-09-01,92.63,26.73,"September, 2011"
146,2011-08-01,92.7,26.64,"August, 2011"
147,2011-07-01,92.61,0.26,"July, 2011"
148,2011-06-01,92.54,2.97,"June, 2011"
149,2011-05-01,94.34,29.48,"May, 2011"
150,2011-04-01,91.8,269.66,"April, 2011"
151,2011-03-01,90.94,2631.98,"March, 2011"
152,2011-02-01,90.15,267.43,"February, 2011"
153,2011-01-01,88.44,26.92,"January, 2011"
154,2010-12-01,88.22,2761.96,"December, 2010"
155,2010-11-01,90.08,277.28,"November, 2010"
156,2010-10-01,89.54,272.21,"October, 2010"
157,2010-09-01,87.12,267.14,"September, 2010"
158,2010-08-01,88.24,2663.76,"August, 2010"
159,2010-07-01,85.47,2666.41,"July, 2010"
160,2010-06-01,85.8,261.64,"June, 2010"
161,2010-05-01,88.83,261.62,"May, 2010"
162,2010-04-01,89.58,263.27,"April, 2010"
163,2010-03-01,89.63,2684.21,"March, 2010"
164,2010-02-01,90.63,277.89,"February, 2010"
165,2010-01-01,91.56,276.92,"January, 2010"
166,2009-12-01,92.89,2769.84,"December, 2009"
167,2009-11-01,93.38,271.26,"November, 2009"
168,2009-10-01,91.86,2764.37,"October, 2009"
169,2009-09-01,90.69,286.38,"September, 2009"
170,2009-08-01,90.02,28.87,"August, 2009"
171,2009-07-01,89.93,2813.94,"July, 2009"
172,2009-06-01,89.86,2784.14,"June, 2009"
173,2009-05-01,86.3,2869.44,"May, 2009"
174,2009-04-01,85.71,291.21,"April, 2009"
175,2009-03-01,83.86,29.91,"March, 2009"
176,2009-02-01,84.47,29.91,"February, 2009"
177,2009-01-01,87.97,284.49,"January, 2009"
178,2008-12-01,76.38,218.46,"December, 2008"
179,2008-11-01,62.82,1667.48,"November, 2008"
180,2008-10-01,48.68,1228.88,"October, 2008"
181,2008-09-01,31.92,78.41,"September, 2008"
182,2008-08-01,32.69,766.48,"August, 2008"
183,2008-07-01,32.85,7.76,"July, 2008"
184,2008-06-01,32.6,773.93,"June, 2008"
185,2008-05-01,32.72,773.82,"May, 2008"
186,2008-04-01,32.9,77.37,"April, 2008"
187,2008-03-01,32.22,77.73,"March, 2008"
188,2008-02-01,32.0,783.31,"February, 2008"
