,date,web-link,text
21,28.12.24,?id22=667837,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-103-01793-A-001P"
22,28.12.24,?id22=667835,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-102-01793-A-001P"
23,28.12.24,?id22=667833,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-101-01793-A-001P"
24,28.12.24,?id22=667831,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-100-01793-A-001P"
25,28.12.24,?id22=667829,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-99-01793-A-001P"
26,28.12.24,?id22=667827,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-98-01793-A-001P"
27,28.12.24,?id22=667825,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-97-01793-A-001P"
28,28.12.24,?id22=667823,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-96-01793-A-001P"
29,28.12.24,?id22=667821,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-95-01793-A-001P"
30,28.12.24,?id22=667819,"О присвоении ISIN кода акциям обыкновенным   АО ""Балтийский"""
31,28.12.24,?id22=667817,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-94-01793-A-001P"
32,28.12.24,?id22=667815,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-93-01793-A-001P"
33,28.12.24,?id22=667813,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-92-01793-A-001P"
34,28.12.24,?id22=667811,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-91-01793-A-001P"
35,28.12.24,?id22=667809,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-90-01793-A-001P"
36,28.12.24,?id22=667807,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-89-01793-A-001P"
37,28.12.24,?id22=667805,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-88-01793-A-001P"
38,28.12.24,?id22=667803,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-87-01793-A-001P"
39,28.12.24,?id22=667801,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-86-01793-A-001P"
40,28.12.24,?id22=667799,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-85-01793-A-001P"
41,28.12.24,?id22=667797,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-84-01793-A-001P"
42,28.12.24,?id22=667795,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-83-01793-A-001P"
43,28.12.24,?id22=667793,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-82-01793-A-001P"
44,28.12.24,?id22=667791,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-81-01793-A-001P"
45,28.12.24,?id22=667789,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-80-01793-A-001P"
46,28.12.24,?id22=667787,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-79-01793-A-001P"
47,28.12.24,?id22=667785,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-78-01793-A-001P"
48,28.12.24,?id22=667783,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-77-01793-A-001P"
49,28.12.24,?id22=667781,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-76-01793-A-001P"
50,28.12.24,?id22=667779,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-75-01793-A-001P"
51,28.12.24,?id22=667777,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-74-01793-A-001P"
52,28.12.24,?id22=667775,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-73-01793-A-001P"
53,28.12.24,?id22=667773,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-72-01793-A-001P"
54,28.12.24,?id22=667771,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-71-01793-A-001P"
55,28.12.24,?id22=667769,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-70-01793-A-001P"
56,28.12.24,?id22=667767,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-69-01793-A-001P"
57,28.12.24,?id22=667765,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-68-01793-A-001P"
58,28.12.24,?id22=667763,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-67-01793-A-001P"
59,28.12.24,?id22=667761,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-66-01793-A-001P"
60,28.12.24,?id22=667759,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-65-01793-A-001P"
61,28.12.24,?id22=667757,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-64-01793-A-001P"
62,28.12.24,?id22=667755,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-63-01793-A-001P"
63,28.12.24,?id22=667753,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-62-01793-A-001P"
64,28.12.24,?id22=667751,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-61-01793-A-001P"
65,28.12.24,?id22=667749,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-60-01793-A-001P"
66,28.12.24,?id22=667747,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-59-01793-A-001P"
67,28.12.24,?id22=667745,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-58-01793-A-001P"
68,28.12.24,?id22=667743,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-57-01793-A-001P"
69,28.12.24,?id22=667741,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-56-01793-A-001P"
70,28.12.24,?id22=667739,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-55-01793-A-001P"
71,28.12.24,?id22=667737,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-54-01793-A-001P"
72,28.12.24,?id22=667735,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-53-01793-A-001P"
73,28.12.24,?id22=667733,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-52-01793-A-001P"
74,28.12.24,?id22=667731,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-51-01793-A-001P"
75,28.12.24,?id22=667729,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-50-01793-A-001P"
76,28.12.24,?id22=667727,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-49-01793-A-001P"
77,28.12.24,?id22=667725,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-48-01793-A-001P"
78,28.12.24,?id22=667723,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-47-01793-A-001P"
79,28.12.24,?id22=667721,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-46-01793-A-001P"
80,28.12.24,?id22=667719,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-45-01793-A-001P"
81,28.12.24,?id22=667717,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-44-01793-A-001P"
82,28.12.24,?id22=667715,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-43-01793-A-001P"
83,28.12.24,?id22=667713,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-42-01793-A-001P"
84,28.12.24,?id22=667711,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-41-01793-A-001P"
85,28.12.24,?id22=667709,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-40-01793-A-001P"
86,28.12.24,?id22=667707,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-39-01793-A-001P"
87,28.12.24,?id22=667705,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-38-01793-A-001P"
88,28.12.24,?id22=667703,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-37-01793-A-001P"
89,28.12.24,?id22=667701,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-36-01793-A-001P"
90,28.12.24,?id22=667699,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-35-01793-A-001P"
91,28.12.24,?id22=667697,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1410-01000-B-001P"
92,28.12.24,?id22=667695,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1409-01000-B-001P"
93,28.12.24,?id22=667693,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1408-01000-B-001P"
94,28.12.24,?id22=667691,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1407-01000-B-001P"
95,28.12.24,?id22=667689,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1406-01000-B-001P"
96,28.12.24,?id22=667687,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1405-01000-B-001P"
97,28.12.24,?id22=667685,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1404-01000-B-001P"
98,28.12.24,?id22=667683,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1403-01000-B-001P"
99,28.12.24,?id22=667681,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1402-01000-B-001P"
100,28.12.24,?id22=667679,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 6-1401-01000-B-001P"
101,28.12.24,?id22=667677,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-870-01000-B-005P"
102,27.12.24,?id22=667675,"О присвоении ISIN кода акциям обыкновенным   АО ""НПЦ ""Сатурн"""
103,27.12.24,?id22=667673,О присвоении ISIN кода акциям обыкновенным   АО ВТБ Лизинг
104,27.12.24,?id22=667671,"О присвоении ISIN кода облигациям ООО ""ОЙЛ РЕСУРС ГРУПП"", выпуск 4B02-01-00146-L-001P"
105,27.12.24,?id22=667669,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-62-00508-R"
106,27.12.24,?id22=667667,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-61-00508-R"
107,27.12.24,?id22=667665,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-60-00508-R"
108,27.12.24,?id22=667663,"О присвоении ISIN кода облигациям ООО ""СФО БКС Структурные Ноты"", выпуск 6-59-00508-R"
109,27.12.24,?id22=667661,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-606-01326-B-001P"
110,27.12.24,?id22=667659,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-605-01326-B-001P"
111,27.12.24,?id22=667657,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-604-01326-B-001P"
112,27.12.24,?id22=667655,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-603-01326-B-001P"
113,27.12.24,?id22=667653,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-602-01326-B-001P"
114,27.12.24,?id22=667651,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-601-01326-B-001P"
115,27.12.24,?id22=667649,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-600-01326-B-001P"
116,27.12.24,?id22=667647,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-599-01326-B-001P"
117,27.12.24,?id22=667645,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-598-01326-B-001P"
118,27.12.24,?id22=667643,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-597-01326-B-001P"
119,27.12.24,?id22=667641,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-596-01326-B-001P"
120,27.12.24,?id22=667639,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-595-01326-B-001P"
121,27.12.24,?id22=667637,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-594-01326-B-001P"
122,27.12.24,?id22=667635,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-593-01326-B-001P"
123,27.12.24,?id22=667633,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-592-01326-B-001P"
124,27.12.24,?id22=667631,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-869-01000-B-005P"
125,26.12.24,?id22=667629,"О присвоении ISIN кода инвестиционным паям ЗПИ комбинированного фонда ""Рентный доход 2 ПРО"""
126,26.12.24,?id22=667627,"О присвоении ISIN кода облигациям ООО ""Совкомбанк Факторинг"", выпуск 4B02-01-00710-R-001P"
127,26.12.24,?id22=667625,"О присвоении ISIN кода облигациям ООО ""Совкомбанк Лизинг"", выпуск 4B02-08-00303-R-001P"
128,26.12.24,?id22=667623,"О присвоении ISIN кода акциям обыкновенным   ЗАО ""Осташковский кожевенный завод"""
129,26.12.24,?id22=667621,"О присвоении ISIN кода акциям обыкновенным   ОАО ""НЗКСМ"""
130,26.12.24,?id22=667619,"О присвоении ISIN кода облигациям ООО ВТБ Факторинг, выпуск 4B02-01-00204-L"
131,26.12.24,?id22=667617,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-868-01000-B-005P"
132,25.12.24,?id22=667615,"О присвоении ISIN кода акциям обыкновенным   АО ""ТЦ ""Алтын"""
133,25.12.24,?id22=667613,"О присвоении ISIN кода акциям обыкновенным   АО ""РБТ"", выпуск 1-01-87493-H-002D"
134,25.12.24,?id22=667611,"О присвоении ISIN кода облигациям ПАО ""Группа Позитив"", выпуск 4B02-02-85307-H-001P"
135,25.12.24,?id22=667609,"О присвоении ISIN кода облигациям ООО ""РЕСО-Лизинг"", выпуск 4B02-23-36419-R-001P"
136,25.12.24,?id22=667607,"О присвоении ISIN кода облигациям ООО ""Новые технологии"", выпуск 4B02-01-00069-L-001P"
137,25.12.24,?id22=667605,"О присвоении ISIN кода облигациям ООО ""Новые технологии"", выпуск 4B02-02-00069-L-001P"
138,25.12.24,?id22=667603,"О присвоении ISIN кода облигациям ПАО ""МТС"", выпуск 4CDE-02-04715-A-001P"
139,25.12.24,?id22=667601,"О присвоении ISIN кода облигациям ПАО ""Кокс"", выпуск 4B02-01-10799-F-001P"
140,25.12.24,?id22=667599,"О присвоении ISIN кода облигациям ООО ""ИКС 5 ФИНАНС"", выпуск 4B02-07-36241-R-003P"
141,25.12.24,?id22=667597,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-867-01000-B-005P"
142,24.12.24,?id22=667595,"О присвоении ISIN кода инвестиционным паям Комбинированного ЗПИФ ""Транс-Капитал ДВ"""
143,24.12.24,?id22=667593,"О присвоении ISIN кода облигациям ООО ""СФО Силуэт"", выпуск 6-01-00844-R"
144,24.12.24,?id22=667591,"О присвоении ISIN кода облигациям ООО ""СФО РУБИДИЙ КАПИТАЛ"", выпуск 6-02-00819-R"
145,24.12.24,?id22=667589,"О присвоении ISIN кода акциям обыкновенным   АО ""НОВО - ИНВЕСТ"""
146,24.12.24,?id22=667587,"О присвоении ISIN кода акциям обыкновенным   ПАО ""Мособлстройматериалы"", выпуск 1-01-03798-A-003D"
147,24.12.24,?id22=667585,"О присвоении ISIN кода облигациям АО ""ИНК-Капитал"", выпуск 4B02-02-43073-N-001P"
148,24.12.24,?id22=667583,"О присвоении ISIN кода облигациям ООО ""Жилой микрорайон"", выпуск 4CDE-15-00415-R-001P"
149,24.12.24,?id22=667581,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-591-01326-B-001P"
150,24.12.24,?id22=667579,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-590-01326-B-001P"
151,24.12.24,?id22=667577,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-589-01326-B-001P"
152,24.12.24,?id22=667575,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-588-01326-B-001P"
153,24.12.24,?id22=667573,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-587-01326-B-001P"
154,24.12.24,?id22=667571,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-586-01326-B-001P"
155,24.12.24,?id22=667569,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-585-01326-B-001P"
156,24.12.24,?id22=667567,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-584-01326-B-001P"
157,24.12.24,?id22=667565,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-583-01326-B-001P"
158,24.12.24,?id22=667563,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-582-01326-B-001P"
159,24.12.24,?id22=667561,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-581-01326-B-001P"
160,24.12.24,?id22=667559,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-580-01326-B-001P"
161,24.12.24,?id22=667557,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-579-01326-B-001P"
162,24.12.24,?id22=667555,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-578-01326-B-001P"
163,24.12.24,?id22=667553,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-577-01326-B-001P"
164,24.12.24,?id22=667551,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-576-01326-B-001P"
165,24.12.24,?id22=667549,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-575-01326-B-001P"
166,24.12.24,?id22=667547,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-574-01326-B-001P"
167,24.12.24,?id22=667545,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-573-01326-B-001P"
168,24.12.24,?id22=667543,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-572-01326-B-001P"
169,24.12.24,?id22=667541,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-571-01326-B-001P"
170,24.12.24,?id22=667539,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-570-01326-B-001P"
171,24.12.24,?id22=667537,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-569-01326-B-001P"
172,24.12.24,?id22=667535,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-568-01326-B-001P"
173,24.12.24,?id22=667533,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-567-01326-B-001P"
174,24.12.24,?id22=667531,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-566-01326-B-001P"
175,24.12.24,?id22=667529,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-565-01326-B-001P"
176,24.12.24,?id22=667527,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-564-01326-B-001P"
177,24.12.24,?id22=667525,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-563-01326-B-001P"
178,24.12.24,?id22=667523,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-562-01326-B-001P"
179,24.12.24,?id22=667521,"О присвоении ISIN кода облигациям Государственной компании ""Автодор"", выпуск 4-27-00011-T-002P"
180,24.12.24,?id22=667519,"О присвоении ISIN кода облигациям ООО ""ЕвроСибЭнерго-Гидрогенерация"", выпуск 4B02-06-00660-R-001P"
181,24.12.24,?id22=667517,"О присвоении ISIN кода облигациям Банк ГПБ (АО), выпуск 4B02-15-00354-B-004P"
182,24.12.24,?id22=667515,"О присвоении ISIN кода облигациям ПАО ""АПРИ"", выпуск 4B02-08-12464-K-002P"
183,24.12.24,?id22=667513,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-866-01000-B-005P"
184,23.12.24,?id22=667511,"О присвоении ISIN кода инвестиционным паям Комбинированного ЗПИФ ""Недвижимость-Регионы"""
185,23.12.24,?id22=667509,"О присвоении ISIN кода акциям обыкновенным   ОАО ""ЭМЗ"""
186,23.12.24,?id22=667507,"О присвоении ISIN кода облигациям ООО ""СОПФ ДОМ.РФ"", выпуск 4-11-00598-R-001P"
187,23.12.24,?id22=667505,"О присвоении ISIN кода облигациям ПАО ""Россети Московский регион"", ПАО ""Россети МР"", выпуск 4B02-08-65116-D-001P"
188,23.12.24,?id22=667503,"О присвоении ISIN кода акциям обыкновенным   АО ""ИК РЕГИОН"", выпуск 1-02-00806-H-003D"
189,23.12.24,?id22=667501,"О присвоении ISIN кода акциям обыкновенным   АО ""ПремиумИнвест"""
190,23.12.24,?id22=667499,"О присвоении ISIN кода акциям обыкновенным   АО ""Панорама"""
191,23.12.24,?id22=667497,"О присвоении ISIN кода облигациям АО ""ХК ""МЕТАЛЛОИНВЕСТ"", выпуск 4B02-09-25642-H-001P"
192,23.12.24,?id22=667495,"О присвоении ISIN кода акциям обыкновенным   АО ""Зеленый сад"""
193,23.12.24,?id22=667493,"О присвоении ISIN кода акциям обыкновенным   АО ""АК ""ЖДЯ"", выпуск 1-02-20452-F-006D"
194,23.12.24,?id22=667491,"О присвоении ISIN кода облигациям АО ""ЭР-Телеком Холдинг"", выпуск 4B02-07-53015-K-002P"
195,23.12.24,?id22=667489,"О присвоении ISIN кода облигациям ООО ""МИРРИКО"", выпуск 4B02-02-00153-L-001P"
196,23.12.24,?id22=667487,"О присвоении ISIN кода облигациям ООО ""ДельтаЛизинг"", выпуск 4CDE-01-00154-L"
197,23.12.24,?id22=667485,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-865-01000-B-005P"
198,20.12.24,?id22=667483,"О присвоении ISIN кода инвестиционным паям ЗПИФ комбинированного ""Титул"""
199,20.12.24,?id22=667481,"О присвоении ISIN кода инвестиционным паям ЗПИФ комбинированного ""Азов"""
200,20.12.24,?id22=667479,"О присвоении ISIN кода облигациям Департамента финансов Томской области, выпуск RU36073TMS0"
201,20.12.24,?id22=667477,"О присвоении ISIN кода облигациям АО ""Созидание"", выпуск 4CDE-01-72135-H"
202,20.12.24,?id22=667475,"О присвоении ISIN кода акциям обыкновенным   АО ""Коннективити солюшнз"""
203,20.12.24,?id22=667473,"О присвоении ISIN кода акциям обыкновенным   АО ""АРТГАЗ"""
204,20.12.24,?id22=667471,"О присвоении ISIN кода облигациям Государственной компании ""Автодор"", выпуск 4-13-00011-T-004P"
205,20.12.24,?id22=667469,"О присвоении ISIN кода инвестиционным паям БПИФ рыночных финансовых инструментов  ""АТОН - Флоатеры"""
206,20.12.24,?id22=667467,"О присвоении ISIN кода инвестиционным паям БПИФ рыночных финансовых инструментов  ""АТОН - Длинные ОФЗ"""
207,20.12.24,?id22=667465,"О присвоении ISIN кода облигациям ООО ""Мираторг Финанс"", выпуск 4B02-02-36276-R-001P"
208,20.12.24,?id22=667463,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-864-01000-B-005P"
209,19.12.24,?id22=667461,"О присвоении ISIN кода инвестиционным паям Комбинированного ЗПИФ ""Инновационно-Промышленный"""
210,19.12.24,?id22=667459,"О присвоении ISIN кода инвестиционным паям ИПИФ комбинированного ""Газпромбанк - Тактические решения"""
211,19.12.24,?id22=667457,"О присвоении ISIN кода инвестиционным паям БПИФ рыночных финансовых инструментов ""АК БАРС - Денежный рынок"""
212,19.12.24,?id22=667455,"О присвоении ISIN кода инвестиционным паям ЗПИФ комбинированного ""А. В. Суворов"""
213,19.12.24,?id22=667453,"О присвоении ISIN кода акциям обыкновенным   АО ""СТР"""
214,19.12.24,?id22=667451,"О присвоении ISIN кода облигациям ООО ""Совком Секьюритиз"", выпуск 4B02-01-00190-L-001P"
