,date,web-link,text,Year,Month
45,2024-12-28,?id22=667787,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-79-01793-A-001P",2024,12
46,2024-12-28,?id22=667785,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-78-01793-A-001P",2024,12
47,2024-12-28,?id22=667783,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-77-01793-A-001P",2024,12
48,2024-12-28,?id22=667781,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-76-01793-A-001P",2024,12
49,2024-12-28,?id22=667779,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-75-01793-A-001P",2024,12
50,2024-12-28,?id22=667777,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-74-01793-A-001P",2024,12
51,2024-12-28,?id22=667775,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-73-01793-A-001P",2024,12
52,2024-12-28,?id22=667773,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-72-01793-A-001P",2024,12
53,2024-12-28,?id22=667771,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-71-01793-A-001P",2024,12
54,2024-12-28,?id22=667769,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-70-01793-A-001P",2024,12
55,2024-12-28,?id22=667767,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-69-01793-A-001P",2024,12
56,2024-12-28,?id22=667765,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-68-01793-A-001P",2024,12
57,2024-12-28,?id22=667763,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-67-01793-A-001P",2024,12
58,2024-12-28,?id22=667761,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-66-01793-A-001P",2024,12
59,2024-12-28,?id22=667759,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-65-01793-A-001P",2024,12
60,2024-12-28,?id22=667757,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-64-01793-A-001P",2024,12
61,2024-12-28,?id22=667755,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-63-01793-A-001P",2024,12
62,2024-12-28,?id22=667753,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-62-01793-A-001P",2024,12
63,2024-12-28,?id22=667751,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-61-01793-A-001P",2024,12
64,2024-12-28,?id22=667749,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-60-01793-A-001P",2024,12
65,2024-12-28,?id22=667747,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-59-01793-A-001P",2024,12
66,2024-12-28,?id22=667745,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-58-01793-A-001P",2024,12
67,2024-12-28,?id22=667743,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-57-01793-A-001P",2024,12
68,2024-12-28,?id22=667741,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-56-01793-A-001P",2024,12
69,2024-12-28,?id22=667739,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-55-01793-A-001P",2024,12
70,2024-12-28,?id22=667737,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-54-01793-A-001P",2024,12
71,2024-12-28,?id22=667735,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-53-01793-A-001P",2024,12
72,2024-12-28,?id22=667733,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-52-01793-A-001P",2024,12
73,2024-12-28,?id22=667731,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-51-01793-A-001P",2024,12
74,2024-12-28,?id22=667729,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-50-01793-A-001P",2024,12
75,2024-12-28,?id22=667727,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-49-01793-A-001P",2024,12
76,2024-12-28,?id22=667725,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-48-01793-A-001P",2024,12
77,2024-12-28,?id22=667723,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-47-01793-A-001P",2024,12
78,2024-12-28,?id22=667721,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-46-01793-A-001P",2024,12
79,2024-12-28,?id22=667719,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-45-01793-A-001P",2024,12
80,2024-12-28,?id22=667717,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-44-01793-A-001P",2024,12
81,2024-12-28,?id22=667715,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-43-01793-A-001P",2024,12
82,2024-12-28,?id22=667713,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-42-01793-A-001P",2024,12
83,2024-12-28,?id22=667711,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-41-01793-A-001P",2024,12
84,2024-12-28,?id22=667709,"О присвоении ISIN кода облигациям АО ""Сбербанк КИБ"", выпуск 6-40-01793-A-001P",2024,12
