,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
26,RU000A107A93,28 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Сибнефтехимтрейд""",7206033362,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии БО-03,Бездокументарная,С централизованным учетом,4B02-01-00010-L,31 августа 2023 г.,1 000.00,Рубли,3 ноября 2028 г.,,,,,,,,
27,RU000A107A69,28 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии ЗО-02,Бездокументарная,С централизованным учетом,4-09-01326-B,21 сентября 2023 г.,,Рубли,,,,,,,,,
28,RU000A1079Z1,27 ноября 2023 г.,Параметры ценной бумаги (выпуска),"публично-правовая компания ""Фонд развития территорий""",7704446429,Процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии 001P-30,Бездокументарная,С централизованным учетом,4-30-00014-T-001P,4 сентября 2023 г.,1 000.00,Рубли,28 ноября 2048 г.,,,,,,,,
29,RU000A1079X6,27 ноября 2023 г.,Параметры ценной бумаги (выпуска),"публично-правовая компания ""Фонд развития территорий""",7704446429,Процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии 001P-29,Бездокументарная,С централизованным учетом,4-29-00014-T-001P,4 сентября 2023 г.,1 000.00,Рубли,28 ноября 2048 г.,,,,,,,,
30,RU000A1079S6,27 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Холдинговая компания ""МЕТАЛЛОИНВЕСТ""",7705392230,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-06,Бездокументарная,С централизованным учетом,4B02-06-25642-H-001P,21 ноября 2023 г.,1 000.00,Рубли,23 ноября 2027 г.,,,,,,,,
31,RU000A107A28,27 ноября 2023 г.,Параметры ценной бумаги (выпуска),"""Газпромбанк"" (Акционерное общество)",7744001497,Биржевые зеленые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 005P-01P,Бездокументарная,С централизованным учетом,4B02-01-00354-B-005P,23 ноября 2023 г.,1 000.00,Рубли,28 ноября 2026 г.,,,,,,,,
32,RU000A1079N7,24 ноября 2023 г.,,,,,,,,17 июля 2023 г.,,,,Параметры ценной бумаги (пая),"Открытый паевой инвестиционный фонд рыночных финансовых инструментов ""Облигации. Рантье""",открытый,Инвестиционные паи,5496,АО ВИМ Инвестиции,"ООО ""СДК ""Гарант""",
33,RU000A1079M9,24 ноября 2023 г.,,,,,,,,17 июля 2023 г.,,,,Параметры ценной бумаги (пая),"Открытый паевой инвестиционный фонд рыночных финансовых инструментов ""Новые валютные облигации""",открытый,Инвестиционные паи,5497,АО ВИМ Инвестиции,"ООО ""СДК ""Гарант""",
34,RU000A1079E6,24 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ТЕРРА ПЛАСТ""",7802555585,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии КО-П02,Бездокументарная,С централизованным учетом,4CDE-02-00558-R-001P,4 сентября 2023 г.,1 000.00,Рубли,11 ноября 2026 г.,,,,,,,,
35,RU000A1079H9,24 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Роял Капитал""",4025428684,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии БО-П10,Бездокументарная,С централизованным учетом,4B02-10-00382-R-001P,22 ноября 2023 г.,1 000.00,Рубли,24 ноября 2026 г.,,,,,,,,
36,RU000A1079G1,24 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество Микрофинансовая компания ""Мани Капитал""",6316103050,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-02,Бездокументарная,С централизованным учетом,4B02-02-05736-P-001P,16 ноября 2023 г.,1 000.00,Рубли,12 ноября 2026 г.,,,,,,,,
37,RU000A1079D8,24 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 002P-SBER46,Бездокументарная,С централизованным учетом,4B02-04-01481-B-002P,23 ноября 2023 г.,,Рубли,,,,,,,,,
38,RU000A1079C0,24 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 002P-SBER45,Бездокументарная,С централизованным учетом,4B02-03-01481-B-002P,23 ноября 2023 г.,,Рубли,,,,,,,,,
39,RU000A1079B2,24 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_PRT_SBER-18M-001Р-596R,Бездокументарная,С централизованным учетом,4B02-626-01481-B-001P,23 ноября 2023 г.,,Рубли,,,,,,,,,
40,RU000A107985,23 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_PRTACm_MOEXFN-5Y-001Р-595R,Бездокументарная,С централизованным учетом,4B02-625-01481-B-001P,22 ноября 2023 г.,,Рубли,,,,,,,,,
41,RU000A107977,23 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Биржевые облигации процентные и дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-10,Бездокументарная,С централизованным учетом,4B02-10-01326-B-001P,21 ноября 2023 г.,,Рубли,,,,,,,,,
42,RU000A1078Y6,22 ноября 2023 г.,Параметры ценной бумаги (выпуска),"общество с ограниченной ответственностью ""ЭкономЛизинг""",6455041925,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 001P-06,Бездокументарная,С централизованным учетом,4B02-06-00461-R-001P,17 ноября 2023 г.,1 000.00,Рубли,19 ноября 2026 г.,,,,,,,,
43,RU000A107910,22 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Ростелеком""",7707049388,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 002P-13R,Бездокументарная,С централизованным учетом,4B02-13-00124-A-002P,20 ноября 2023 г.,1 000.00,Рубли,20 февраля 2026 г.,,,,,,,,
44,RU000A1078Z3,22 ноября 2023 г.,Параметры ценной бумаги (выпуска),"публично-правовая компания по формированию комплексной системы обращения с твёрдыми коммунальными отходами ""Российский экологический оператор""",7703474222,Облигации неконвертируемые процентные бездокументарные с централизованным учетом прав серии 08-КИ с залоговым обеспечением денежными требованиями,Бездокументарная,С централизованным учетом,4-07-00009-T,7 ноября 2023 г.,3 517 818 000.00,Рубли,30 сентября 2035 г.,,,,,,,,
45,RU000A107936,22 ноября 2023 г.,Параметры ценной бумаги (выпуска),"открытое акционерное общество ""Российские железные дороги""",7708503727,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-29R,Бездокументарная,С централизованным учетом,4B02-29-65045-D-001P,20 ноября 2023 г.,1 000.00,Рубли,15 ноября 2030 г.,,,,,,,,
46,RU000A0P1UC3,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-840,Бездокументарная,С централизованным учетом,6-840-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
47,RU000A0P1UB5,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-839,Бездокументарная,С централизованным учетом,6-839-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
48,RU000A0P1UA7,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-838,Бездокументарная,С централизованным учетом,6-838-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
49,RU000A0P1U99,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-837,Бездокументарная,С централизованным учетом,6-837-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
50,RU000A0P1U81,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-836,Бездокументарная,С централизованным учетом,6-836-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
51,RU000A0P1U73,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-835,Бездокументарная,С централизованным учетом,6-835-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
52,RU000A0P1U65,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-834,Бездокументарная,С централизованным учетом,6-834-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
53,RU000A0P1U57,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-833,Бездокументарная,С централизованным учетом,6-833-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
54,RU000A0P1U40,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-832,Бездокументарная,С централизованным учетом,6-832-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
55,RU000A0P1U32,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-831,Бездокументарная,С централизованным учетом,6-831-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
56,RU000A0P1U24,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-830,Бездокументарная,С централизованным учетом,6-830-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
57,RU000A0P1U16,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-829,Бездокументарная,С централизованным учетом,6-829-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
58,RU000A0P1U08,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-828,Бездокументарная,С централизованным учетом,6-828-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
59,RU000A0P1TZ6,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-827,Бездокументарная,С централизованным учетом,6-827-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
60,RU000A0P1TY9,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-826,Бездокументарная,С централизованным учетом,6-826-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
61,RU000A0P1TX1,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-825,Бездокументарная,С централизованным учетом,6-825-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
62,RU000A0P1TW3,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-824,Бездокументарная,С централизованным учетом,6-824-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
63,RU000A0P1TV5,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-823,Бездокументарная,С централизованным учетом,6-823-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
64,RU000A0P1TU7,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-822,Бездокументарная,С централизованным учетом,6-822-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
65,RU000A0P1TT9,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-821,Бездокументарная,С централизованным учетом,6-821-01000-B-001P,16 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
66,RU000A1078X8,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ДиректЛизинг""",7709673048,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 002Р-02,Бездокументарная,С централизованным учетом,4B02-02-00308-R-002P,15 ноября 2023 г.,1 000.00,Рубли,27 октября 2028 г.,,,,,,,,
67,RU000A1078V2,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),"акционерное общество ""Государственная транспортная лизинговая компания""",7720261827,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии ЗО25-Д,Бездокументарная,С централизованным учетом,4-04-32432-H,16 ноября 2023 г.,1 000.00,Доллар США,17 апреля 2025 г.,,,,,,,,
68,RU000A1078W0,21 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Государственная компания ""Российские автомобильные дороги""",7717151380,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 004Р-07,Бездокументарная,С централизованным учетом,4-07-00011-T-004P,30 октября 2023 г.,1 000.00,Рубли,23 октября 2047 г.,,,,,,,,
69,RU000A0P1NY2,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-290,Бездокументарная,С централизованным учетом,6-290-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
70,RU000A0P1NX4,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-289,Бездокументарная,С централизованным учетом,6-289-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
71,RU000A0P1NW6,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-288,Бездокументарная,С централизованным учетом,6-288-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
72,RU000A0P1NV8,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-287,Бездокументарная,С централизованным учетом,6-287-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
73,RU000A0P1NU0,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-286,Бездокументарная,С централизованным учетом,6-286-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
74,RU000A0P1NT2,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-285,Бездокументарная,С централизованным учетом,6-285-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
75,RU000A0P1NS4,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-284,Бездокументарная,С централизованным учетом,6-284-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
76,RU000A0P1NR6,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-283,Бездокументарная,С централизованным учетом,6-283-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
77,RU000A0P1NQ8,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-282,Бездокументарная,С централизованным учетом,6-282-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
78,RU000A0P1NP0,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-281,Бездокументарная,С централизованным учетом,6-281-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
79,RU000A0P1NN5,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-280,Бездокументарная,С централизованным учетом,6-280-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
80,RU000A0P1NM7,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-279,Бездокументарная,С централизованным учетом,6-279-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
81,RU000A0P1NL9,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-278,Бездокументарная,С централизованным учетом,6-278-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
82,RU000A0P1NK1,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-277,Бездокументарная,С централизованным учетом,6-277-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
83,RU000A0P1NJ3,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-276,Бездокументарная,С централизованным учетом,6-276-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
84,RU000A0P1NH7,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-275,Бездокументарная,С централизованным учетом,6-275-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
85,RU000A0P1NG9,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-274,Бездокументарная,С централизованным учетом,6-274-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
86,RU000A0P1NF1,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-273,Бездокументарная,С централизованным учетом,6-273-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
87,RU000A0P1NE4,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-272,Бездокументарная,С централизованным учетом,6-272-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
88,RU000A0P1ND6,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-271,Бездокументарная,С централизованным учетом,6-271-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
89,RU000A0P1NC8,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-270,Бездокументарная,С централизованным учетом,6-270-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
90,RU000A0P1NB0,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-269,Бездокументарная,С централизованным учетом,6-269-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
91,RU000A0P1NA2,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-268,Бездокументарная,С централизованным учетом,6-268-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
92,RU000A0P1N98,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-267,Бездокументарная,С централизованным учетом,6-267-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
93,RU000A0P1N80,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-266,Бездокументарная,С централизованным учетом,6-266-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
94,RU000A0P1N72,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-265,Бездокументарная,С централизованным учетом,6-265-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
95,RU000A0P1N64,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-264,Бездокументарная,С централизованным учетом,6-264-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
96,RU000A0P1N56,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-263,Бездокументарная,С централизованным учетом,6-263-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
97,RU000A0P1N49,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-262,Бездокументарная,С централизованным учетом,6-262-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
98,RU000A0P1N31,17 ноября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-261,Бездокументарная,С централизованным учетом,6-261-01326-B-001P,9 ноября 2023 г.,1 000.00,Рубли,,,,,,,,,
99,RU000A1078S8,20 ноября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Мобильные ТелеСистемы""",7740000076,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 002P-02,Бездокументарная,С централизованным учетом,4B02-02-04715-A-002P,13 ноября 2023 г.,,Рубли,,,,,,,,,
