,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
174,RU000A1063K7,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-437 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-437-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
175,RU000A1063J9,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-436 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-436-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
176,RU000A1063H3,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-435 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-435-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
177,RU000A1063G5,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-434 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-434-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
178,RU000A1063F7,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-433 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-433-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
179,RU000A1063E0,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-432 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-432-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
180,RU000A1063D2,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-431 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-431-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
181,RU000A1063C4,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-430 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-430-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
182,RU000A1063B6,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-429 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-429-01793-A,6 марта 2023 г.,1 000.00,Юань,,,,,,,,,
183,RU000A1063A8,12 апреля 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-440,Бездокументарная,С централизованным учетом,4B02-440-01000-B-005P,6 февраля 2023 г.,1 000.00,Рубли,14 апреля 2023 г.,,,,,,,,
184,RU000A0UD7C1,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-93,Бездокументарная,С централизованным учетом,6-93-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
185,RU000A0UD7B3,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-92,Бездокументарная,С централизованным учетом,6-92-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
186,RU000A0UD7A5,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-91,Бездокументарная,С централизованным учетом,6-91-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
187,RU000A0UD792,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-90,Бездокументарная,С централизованным учетом,6-90-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
188,RU000A0UD784,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-89,Бездокументарная,С централизованным учетом,6-89-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
189,RU000A0UD776,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-88,Бездокументарная,С централизованным учетом,6-88-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
190,RU000A0UD768,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-87,Бездокументарная,С централизованным учетом,6-87-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
191,RU000A0UD750,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-86,Бездокументарная,С централизованным учетом,6-86-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
192,RU000A0UD743,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-85,Бездокументарная,С централизованным учетом,6-85-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
193,RU000A0UD735,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-84,Бездокументарная,С централизованным учетом,6-84-01326-B-001P,3 апреля 2023 г.,1 000.00,Юань,,,,,,,,,
194,RU000A0UD727,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-83,Бездокументарная,С централизованным учетом,6-83-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
195,RU000A0UD719,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-82,Бездокументарная,С централизованным учетом,6-82-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
196,RU000A0UD701,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-81,Бездокументарная,С централизованным учетом,6-81-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
197,RU000A0UD6Z4,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-80,Бездокументарная,С централизованным учетом,6-80-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
198,RU000A0UD6Y7,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-79,Бездокументарная,С централизованным учетом,6-79-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
199,RU000A0UD6X9,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-78,Бездокументарная,С централизованным учетом,6-78-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
200,RU000A0UD6W1,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-77,Бездокументарная,С централизованным учетом,6-77-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
201,RU000A0UD6V3,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-76,Бездокументарная,С централизованным учетом,6-76-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
202,RU000A0UD6U5,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-75,Бездокументарная,С централизованным учетом,6-75-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
203,RU000A0UD6T7,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-74,Бездокументарная,С централизованным учетом,6-74-01326-B-001P,3 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
204,RU000A105R62,12 января 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Газпром капитал""",7726588547,Бездокументарные процентные неконвертируемые облигации с централизованным учетом прав серии ЗО28-1-Д,Бездокументарная,С централизованным учетом,4-10-36400-R-003P,19 декабря 2022 г.,1 000.00,Доллар США,6 февраля 2028 г.,,,,,,,,
205,RU000A105R39,12 января 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-379,Бездокументарная,С централизованным учетом,4B02-379-01000-B-005P,22 ноября 2022 г.,1 000.00,Рубли,14 января 2023 г.,,,,,,,,
