,Data,01.07.2025,01.06.2026,01.07.2026
0,Total Volume (RUB mln),13090578.9,12955276.1,13104151.3
1,Total Volume (USD mln),166825.9,182411.1,168533.7
2,Liquid Volume (RUB mln),4127953.1,3412351.9,3611643.6
3,Liquid Volume (USD mln),52606.5,48046.1,46449.7
4,Liquid/Total in USD,0.3153377263362583,0.2633946070167879,0.2756107532202758
