,date,link,text
0,30.04.2025,https://nsddata.ru/ru/news/view/1252442,"(INTR) О корпоративном действии ""Выплата купонного дохода"" - BBVA Global Markets B.V. 05/11/26 (облигация ISIN XS2302895730) – информация предназначена для квалифицированных инвесторов"
1,30.04.2025,https://nsddata.ru/ru/news/view/1252402,"(INTR) О корпоративном действии ""Выплата купонного дохода"" - HSBC Bank PLC 19/05/26 (облигация ISIN XS2339831443) – информация предназначена для квалифицированных инвесторов"
2,30.04.2025,https://nsddata.ru/ru/news/view/1252375,"(INTR) (Выплата купонного дохода) О получении и передаче головным депозитарием, осуществляющим обязательное централизованное хранение ценных бумаг/централизованный учет прав на ценные бумаги, полученных им выплат по облигациям своим депонентам, которые являются номинальными держателями и управляющими, а также о размере выплаты, приходящейся на одну облигацию эмитента (ООО ""Газпром капитал"", 7726588547, RU000A10B7E9, 4B02-11-36400-R-001P)"
3,30.04.2025,https://nsddata.ru/ru/news/view/1252336,"(INTR) О корпоративном действии ""Выплата купонного дохода"" - LUKOIL Securities B.V. 3.875 06/05/30 (облигация ISIN XS2159874002) – информация предназначена для квалифицированных инвесторов"
4,30.04.2025,https://nsddata.ru/ru/news/view/1252315,"(INTR) О корпоративном действии ""Выплата купонного дохода"" - Lukoil International Finance B.V. 4.75 02/11/26 (облигация ISIN XS1514045886) – информация предназначена для квалифицированных инвесторов"
5,30.04.2025,https://nsddata.ru/ru/news/view/1252309,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента АО ""АБЗ-1"" ИНН 7804016807 (облигация 4B02-01-01671-D-002P / ISIN RU000A109PP1)"
6,30.04.2025,https://nsddata.ru/ru/news/view/1252305,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента ПАО ""ИНГРАД"" ИНН 7702336269 (облигация 4B02-01-50020-A-001P / ISIN RU000A0ZYG37)"
7,30.04.2025,https://nsddata.ru/ru/news/view/1252298,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента АО ""Эталон-Финанс"" ИНН 7705619586 (облигация 4B02-02-55338-H-002P / ISIN RU000A109SP5)"
8,30.04.2025,https://nsddata.ru/ru/news/view/1252296,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента ПАО ""ИНАРКТИКА"" ИНН 7816430057 (облигация 4B02-02-04461-D-002P / ISIN RU000A10B8R9)"
9,30.04.2025,https://nsddata.ru/ru/news/view/1252295,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента АО ""ФПК"" ИНН 7708709686 (облигация 4B02-05-55465-E-001P / ISIN RU000A0ZZTL5)"
10,30.04.2025,https://nsddata.ru/ru/news/view/1252294,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента ООО ""Балтийский лизинг"" ИНН 7826705374 (облигация 4B02-12-36442-R-001P / ISIN RU000A109551)"
11,30.04.2025,https://nsddata.ru/ru/news/view/1252290,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента АО ""АЛЬФА-БАНК"" ИНН 7728168971 (облигация 6-651-01326-B-001P / ISIN RU000A10BAS8) – информация предназначена для квалифицированных инвесторов"
12,30.04.2025,https://nsddata.ru/ru/news/view/1252289,"(INTR) О корпоративном действии ""Выплата купонного дохода"" - DEUTSCHE BANK AG 6.25 UNDT (облигация ISIN XS1071551474) – информация предназначена для квалифицированных инвесторов"
13,30.04.2025,https://nsddata.ru/ru/news/view/1252288,"(INTR) О корпоративном действии ""Выплата купонного дохода"" с ценными бумагами эмитента АО ""Джи-групп"" ИНН 1660359180 (облигация 4B02-05-10609-P-001P / ISIN RU000A109981)"
